Title,Date_Year,Host,Poster_Link,Video_Link,Read_More_Link
"All water is holy water that needs to be cherished , saved , worshipped and conserved","July 13, 2021",Green Verandah,Assests/Talks/2021.July_.Green-Verandah.jpg,https://www.facebook.com/watch/live/?v=890949465098929&ref=watch_permalink,
Urban Lakes as a Socio-Ecological System,"July 7, 2021","Special Lecture on Urban Lakes - School of Public Policy and Governance, TATA Institute of Social Science, Hyderabad",Assests/Talks/2021.July_.TISS_.jpg,https://drive.google.com/file/d/1K89FkM-7I584Z9zfPZ_ZX90fYtVn2DNw/view?usp=sharing,
The Climate Convo with Hemang Vellore,N/A,,Assests/Talks/climate-convo.jpg,https://www.facebook.com/ClimateActionDriver/videos/332490751841382/,
The 'Ds' of Water Conservation & Management | Water Issues (जल संरक्षण) | Making Education Relevant,"June 19, 2021",International Chamber for Service Industry,Assests/Talks/2021.June_.Ds_.jpg,https://www.youtube.com/watch?v=2BMJ8js6VX0,
What will it take to make Indian Cities Water Resilient? Saturday Night Live Water Session,"Jun 12, 2021",Jal Smruti,Assests/Talks/2021.June_.Jal_.jpg,,https://it-it.facebook.com/jalsmruti/photos/a.112906917562275/152208510298782/?type=3&theater
Satyagraha,"May 29, 2021",Self Reflection| Profiteering over dead,Assests/Talks/2021.May_Satyagraha.jpg,,
Interactive Workshop on Water Management,2021,"U - S - Consulate General, Mumbai - April 12 -16",Assests/Talks/2021.April_Consulate.jpg,,
Live Research projects Workshop,2021,Exploreit and TERI school of Advanced studies - Feburary 2,Assests/Talks/PHOTO-2021-02-13-19-01-33.jpg,,https://www.townscript.com/e/workshop-on-live-research-projects2-204321
A Social-Ecological Approach to Urban Lake Governance and Sustainability in India,2021,"Center for Environment, Climate Change and Sustainable Development(CECCSD), Impact and Policy Resarch Institute (IMPRI) and India Water Portal - Planet Talks - Feburary 2",Assests/Talks/PHOTO-2021-02-01-11-51-53.jpg,,https://www.impriindia.com/event-report/a-social-ecological-approach-to-urban-lake-governance-and-sustainability-in-india/
SDG06 and Ways to achieve by the Youth,"December 4, 2020",Heartfulness Institute - Youth-2 - 0,Assests/Talks/2020.Dec_SDG06.jpg,,
Time has Arrived for Women to Lead,"October 1, 2020",APGFWN Webinar - Global Greens,Assests/Talks/APGFWN.jpg,,https://www.globalgreens.org/apgfwn-webinar-time-has-arrived-women-lead
"My Experiment with Learning, Loving, and Living the Urban Lakes of India","July 6, 2020","In Professional Practice for Architecture and Allied Fields - Hosted by CEPT University, Ahmedabad",Assests/Talks/CEPT4.jpg,,
The Future Planning of cities after Corona,"July 1, 2020",In Re-Imagining Sustainable Urban Planning for India” - To be Hosted by Nuffic-NESO of the Embassy of The Netherlands in India,Assests/Talks/Netherlands.jpg,https://www.youtube.com/watch?v=kiDGwdiCD4w&t=3933s,
Office Yoga,"May 21, 2020","Hosted by Amity University Chhattisgarh, Raipur",,,
Interactive Water Governance,"June 13, 2020","A Case of Anasagar Lake of Ajmer - Sustainability Webinar Series - Hosted by India Environment Forum (IEF) - June 15, 2020",Assests/Talks/CEPT3.jpg,,
Social Entrepreneurship and De-Development,"June 13, 2020",Hosted by the Institute of Urban Designers India - National Talk,,https://www.facebook.com/iudisocial/videos/295255585193118,
Rebuild our Lives by Social Entrepreneurship,N/A,"Hosted by SDPS Women's College, Indore - June 7, 2o2o",Assests/Talks/Sdps.jpg,,
Rebuild our Lives by Social Entrepreneurship,"May 26, 2020","Hosted by Department of Electronics & Communication Engineering, L - N - C - T Group Bhopal - f",,,
Water Governance,"June 08, 2020","Opportunities and Challenges - Hosted by Faculty of Planning, CEPT University, Ahmedabad",Assests/Talks/CEPT2.jpg,,
Planning for the New Normal,"May 24, 2020","Hosted by Institute of Town Planners, Sri Lanka, ITPSL - International Talk",Assests/Talks/ITPI-Srilanka.jpg,https://www.youtube.com/watch?v=rtglJHcss5M&t=2252s,
Post COVID- Urban Planning,2019,"Hosted by Indian Institute of Town Planning - National Talk - May 9, 2020",,https://www.youtube.com/watch?v=ouj5I4dYPI8,
Design is More than Drawings,"May 2, 2020","Hosted by Amity University Chhattisgarh, Raipur",,,
Urban Lake Governance and Sustainability,"March 30, 2020",Hosted by India Greens - National Talk - read more,,,
Mansee Bal Bhargava,"Mar 22, 2020","Opportunities and Challenges of Water, Women, and Wisdom - Hosted by India Greens on",,,
Workshop,"March 17, 2020","Practical Tips for Writing Research Paper, Monograph, and Grant Proposal for Teachers and Professionals - Hosted by KLE Tech University, Hubli",,,
The politics of water development in India,"Feb’12, 2020","RV College of Architecture, Bengaluru",Assests/Talks/RV-College.jpg,,
Workshop,"Feb’10, 2020","Practical Tips to Writing Thesis– 3 Modules (Proposal, Report and Presentation) - Gujarat Law Society, GLS, Faculty of Management, Ahmedabad",,,
Lecture,"Oct’12, 2019","Practical Tips to Thesis writing - Amity University Chhattisgarh, Raipur",,,
Lecture,2019,"Urban Lakes as Heritage & as Social-ecological System - CEPT University Ahmedabad, July 24 & 31",,,
Presentation,"12 June, 2019","A Tribute to Nobel Laureate Prof - Elinor Ostrom - The Retakes to Self-Organising towards Saving the Thaltej Lakes Ahmedabad: A story of Polycentric Urban Lake Governance in India at Gujarat Institute for Development Research, GIDR, Ahmedabad",,,https://gidr.ac.in/seminars/discussion
"The life cycle and the life of the urban lakes in India at CEPT University, Ahmedabad",2019,,,https://youtu.be/HfYmJqr1gbg,
"Looking for A Language of Urban Lake Governance and Sustainability, Fulbright Lecture at University of Tennessee, Knoxville (18th Nov); Indianapolis University, Bloomington (Nov 16); University of Wisconsin, Madison (Nov 8); Pontificia Universidad Javeriana, Bogotá (Oct 22); CBIE, ASU, Tempe (Sep 19",2016,,,,
"Opportunities and Challenges for Scholars to Engage in Environmental Governance in India, at The 108th RIHN Seminar, Kyoto",2016,,,,
"Assessment of Interactive Water Governance in India - A case of Anasagar Ajmer, IDE-JETRO, Chiba, Japan, 29 June",2016,,,,
Practical tips for PhD and Independent Research,2016,"at Nirma University Ahmedabad, 14 June",,,
"Thesis Workshop – 3 Modules (Proposal, Report and Presentation) at KLE Technological University, Hubli,21",22 Dec,,,,
Practical Tips to Do a Dissertation,N/A,at University of Delhi on 17 April,,,
Life After Bachelor of Architecture,2 Oct,"at Gogte Institute of Technology, Belgaum",,,
"Understanding urban lake governance and sustainability in India from a Social Ecological System perspective at KLE Technological University, Hubli",30 Sep,,,,
"Thesis Workshop – 3 Modules (Proposal, Report and Presentation), at IPSA, Saurashtra University, Rajkot, 20- and at Anant School of Architecture, Ahmedabad, 15 Sep",21 Sep,,,,
"Workshop on Reading, Writing and Speaking, at IPSA, Saurashtra University, Rajkot, and at Nirma University Ahmedabad",N/A,,,,
Architecture is not about Buildings,N/A,"at Nirma University Ahmedabad, 14 June",,,
"Social-Ecological System Framework- Understanding urban lake governance and sustainability in India, at Jawaharlal Nehru University, Delhi on 16 April and University of Delhi on 17 April",N/A,,,,
"Social-Ecological System Framework- Understanding urban lake governance and sustainability in India, at Tongji University, Shanghai, 16 March",N/A,,,,
It started here,N/A,"Faculty of Architecture Alumni Association Multi-Culti Presentation, at CEPT",,,
"The business of understanding Social-ecological Systems, at IHS Rotterdam on",12 Dec,,,,
"Urban Planning and Resilience, at EPCO, Bhopal",02 Aug,,,,
"Collective Action: The logics, problems and attributes, Governing Modern Societies, ErasmusnUniversity",05 Dec,,,,
"Natural Resource Management: Case of Urban Lakes, at EPCO, Bhopal",N/A,,,,
Doing a PhD? How to prepare for PhD? at IHS Rotterdam,N/A,,,,
"Urban Lake Governance in Theory and Practice: Cases from India, at EPCO, Bhopal",N/A,,,,
"Managing Public Open Spaces: Beyond design, at Ayojan School of Architecture, Jaipur",N/A,,,,
"Mansagar Lake Governance, at 15th Birding Fair at Mansagar Lake, Jaipur",N/A,,,,
"Ostrom and SES Framework, at School of Planning, CEPT",N/A,,,,
"Towards sustainability of urban lake systems in India: A governance perspective, A discussion on Methodological Issues in developing a pattern, at Research Group Seminar of Governance of Complex Systems, Erasmus University, Rotterdam, 07 March",N/A,,,,
"SES Framework and Ahmedabad Lake Governance, at School of Planning, CEPT",N/A,,,,
"Environmental Audit Lecture Series for Executives: Environmental Governance, SES Framework and Ecological Upgradation in Mining case’, at IHS Rotterdam",N/A,,,,
"Managing Public Open Spaces: Beyond Planning and Design, Friday Lecture Series, at IHS",N/A,,,,
"Environmental Governance of Urban Lake Systems, Opportunities and Challenges of using a framework, Faculty of Planning, CEPT University",N/A,,,,
"Managing Public Open Spaces in Theory and Practice, at Tongji University, Shanghai",N/A,,,,
"Clean and Green Ahmedabad, at Ahmedabad Municipal Corporation, Ahmedabad",N/A,,,,
"People in Public Spaces Management, at Arg Design, Cape Town, South Africa",N/A,,,,
"Urban Design Approach and Practice, at Dignity College of Architecture, Bhilai",N/A,,,,
"Managing Amenity Spaces- Looking Beyond Urban Design, at Dept",N/A,"of Urban Design, CEPT",,,
"Economics of Urban Spaces, at School of Planning, CEPT",N/A,,,,
"Research Methodology, at School of Planning, CEPT",N/A,,,,
"Valuing Public Amenities, at School of Planning, CEPT",N/A,,,,
"Amenity Space Distribution: A study of lakes in Ahmedabad, at Department of Architecture and at Fitzwilliam College, University of Cambridge",N/A,,,,
"Site Planning and Design, at L",N/A,"A - D - College of Architecture, Nagpur",,,
"Development strategies for water bodies: our Lakes and Ponds, at Physical Research Laboratory, Ahmedabad",N/A,,,,
